Ano,Setor,Valor
2025,OUTROS,27705350
2024,OUTROS,83330778
2023,OUTROS,80693536
2022,OUTROS,79679168
2021,OUTROS,81288174
2020,OUTROS,79427723
2019,OUTROS,82025146
2018,OUTROS,79485547
2017,OUTROS,77097562
2016,OUTROS,75716754
2015,OUTROS,73844830
2014,OUTROS,73415093
2013,OUTROS,69846095
2012,OUTROS,67829346
2011,OUTROS,63987897
2010,OUTROS,59804784
2009,OUTROS,56476987
2008,OUTROS,56079051
2007,OUTROS,54129905
2006,OUTROS,51796342
2005,OUTROS,49994687
2004,OUTROS,47392161
