,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,1.727.932,1.646.352,1.741.060,1.733.653,1.753.959,1.761.920,1.812.929,1.851.943,1.886.314,1.899.959,1.871.574,1.864.370
Nordeste,4.913.182,4.704.041,4.976.022,4.856.338,4.793.831,4.769.521,4.760.160,4.939.400,4.950.953,5.141.501,5.132.731,5.122.710
Sudeste,15.695.620,16.178.817,16.329.281,16.445.972,15.928.366,15.961.332,15.939.907,16.352.070,16.463.113,16.403.494,16.743.680,16.689.648
Sul,4.927.600,5.187.222,5.211.509,5.062.543,4.807.141,4.879.786,4.847.373,4.957.961,4.841.502,4.852.384,5.043.949,5.074.875
Centro-Oeste,1.616.577,1.667.054,1.696.020,1.741.200,1.684.272,1.687.687,1.711.640,1.784.863,1.803.594,1.796.283,1.760.244,1.742.376
,2005,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,1.687.538,1.619.124,1.669.597,1.651.886,1.689.409,1.692.288,1.718.918,1.725.457,1.752.161,1.796.178,1.787.687,1.774.268
Nordeste,4.775.176,4.526.038,4.692.202,4.675.415,4.738.601,4.575.215,4.643.778,4.740.299,4.763.781,4.849.539,4.919.391,5.005.464
Sudeste,15.518.488,15.206.192,15.475.986,16.295.933,15.581.963,15.633.867,15.509.118,15.838.517,16.391.989,16.074.849,16.089.443,16.116.894
Sul,4.809.416,4.966.586,5.069.873,4.997.008,4.799.821,4.754.692,4.724.562,4.743.659,4.654.131,4.668.762,4.748.342,4.948.743
Centro-Oeste,1.584.818,1.569.678,1.650.311,1.726.784,1.672.357,1.664.488,1.725.940,1.717.071,1.773.066,1.755.984,1.742.754,1.659.777
,2004,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,1.574.434,1.507.449,1.574.177,1.598.862,1.629.129,1.641.382,1.665.003,1.729.896,1.687.157,1.724.167,1.719.638,1.740.621
Nordeste,4.457.112,4.139.867,4.372.743,4.461.999,4.423.585,4.409.302,4.376.174,4.438.515,4.570.030,4.657.881,4.708.465,4.770.509
Sudeste,14.929.528,14.714.713,14.903.803,15.501.322,14.906.629,14.898.517,15.094.286,15.189.575,15.643.732,15.793.624,15.801.001,15.750.648
Sul,4.510.113,4.690.228,4.898.770,4.873.311,4.723.026,4.556.564,4.598.793,4.653.182,4.654.412,4.590.697,4.529.419,4.665.214
Centro-Oeste,1.507.174,1.456.013,1.534.844,1.610.687,1.565.788,1.577.197,1.611.750,1.645.690,1.727.167,1.743.498,1.604.807,1.635.114
