Região,2025*,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Sul,8.299.477,8.623.366,8.953.570,8.645.237,7.868.683,7.697.985,7.717.651,7.800.008,7.820.102,8.053.990,8.035.720,8.375.045,97.890.834
,2022,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,42.580.220,41.853.821,44.626.530,43.267.214,42.061.795,40.943.112,41.237.173,42.140.275,42.318.486,42.519.141,42.723.416,43.225.620,509.496.803
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,3.033.623,2.774.994,3.003.639,2.935.354,3.100.076,3.120.429,3.254.854,3.418.846,3.380.412,3.421.293,3.303.481,3.309.523,38.056.526
Nordeste,7.269.935,6.998.206,7.459.576,7.240.388,7.271.204,7.021.728,7.104.761,7.299.211,7.422.700,7.644.765,7.785.448,7.692.127,88.210.048
Sudeste,20.526.803,20.326.412,22.018.183,21.769.759,20.788.847,19.924.574,19.948.620,20.376.353,20.442.843,20.496.295,20.581.355,20.763.406,247.963.450
Sul,8.495.715,8.542.969,8.763.541,7.905.047,7.536.736,7.588.737,7.629.542,7.645.256,7.536.752,7.417.894,7.580.349,8.006.829,94.649.368
Centro-Oeste,3.254.143,3.211.240,3.381.590,3.416.666,3.364.932,3.287.644,3.299.397,3.400.608,3.535.779,3.538.894,3.472.783,3.453.736,40.617.412
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,235.891,229.193,239.586,233.429,233.329,228.368,235.000,257.739,259.051,267.114,256.722,243.198,2.918.619
Norte,3.105.561,2.838.090,3.073.544,2.998.652,3.215.241,3.272.434,3.433.957,3.651.898,3.647.962,3.720.594,3.654.915,3.700.238,40.313.087
Nordeste,6.607.898,6.381.377,6.791.965,6.591.470,6.547.480,6.289.142,6.319.253,6.415.635,6.500.121,6.674.237,6.794.189,6.658.218,78.570.985
Sudeste/C. Oeste,24.135.154,23.862.192,25.757.893,25.538.616,24.529.009,23.564.432,23.619.421,24.169.747,24.374.601,24.439.302,24.437.241,24.617.137,293.044.743
Sul,8.495.715,8.542.969,8.763.541,7.905.047,7.536.736,7.588.737,7.629.542,7.645.256,7.536.752,7.417.894,7.580.349,8.006.829,94.649.368
,2021,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,43.068.652,41.478.489,43.658.367,42.650.331,40.790.401,40.438.008,40.198.511,40.913.329,41.962.461,42.613.489,41.875.708,42.928.578,502.576.324
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.875.950,2.759.395,2.895.325,2.990.546,3.055.980,3.059.725,3.049.402,3.162.099,3.189.274,3.218.087,3.177.905,3.176.747,36.610.436
Nordeste,7.417.174,7.042.160,7.243.497,7.204.031,6.972.996,6.993.013,6.992.882,7.109.161,7.189.200,7.538.639,7.482.815,7.713.114,86.898.684
Sudeste,21.497.695,20.537.613,21.988.991,21.063.025,19.963.256,19.751.841,19.528.232,19.800.843,20.668.965,20.797.280,20.237.021,20.722.874,246.557.635
Sul,8.097.670,7.972.092,8.257.890,8.109.892,7.579.902,7.330.463,7.472.283,7.606.945,7.349.094,7.453.424,7.606.358,7.894.045,92.730.059
Centro-Oeste,3.180.163,3.167.228,3.272.664,3.282.837,3.218.267,3.302.966,3.155.711,3.234.281,3.565.928,3.606.058,3.371.609,3.421.799,39.779.510
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,237.650,229.734,230.447,250.318,241.255,230.634,227.645,240.727,262.270,261.891,255.819,249.263,2.917.652
Norte,2.971.869,2.839.274,2.977.868,3.040.915,3.124.728,3.156.656,3.202.002,3.283.036,3.294.837,3.321.712,3.300.264,3.309.358,37.822.520
Nordeste,6.774.466,6.428.119,6.627.240,6.578.589,6.337.070,6.330.589,6.295.489,6.396.703,6.450.313,6.789.154,6.747.942,6.973.496,78.729.170
Sudeste/C. Oeste,24.986.997,24.009.270,25.564.921,24.670.617,23.507.445,23.389.667,23.001.091,23.385.918,24.605.946,24.787.308,23.965.325,24.502.416,290.376.922
Sul,8.097.670,7.972.092,8.257.890,8.109.892,7.579.902,7.330.463,7.472.283,7.606.945,7.349.094,7.453.424,7.606.358,7.894.045,92.730.059
,2020,,,,,,,,,,,,
